date,Close
20080327  09:00:00,133.31
20080327  09:30:00,133.34
20080327  10:00:00,133.69
20080327  10:30:00,134.24
20080327  11:00:00,133.95
20080327  11:30:00,133.81
20080327  12:00:00,133.25
20080327  12:30:00,133.4
20080327  13:00:00,133.51
20080327  13:30:00,133.17
20080328  08:00:00,133.02
20080328  08:00:00,133.02
20080328  08:00:00,133.02
20080328  08:30:00,132.96
20080328  08:30:00,132.96
20080328  08:30:00,132.96
20080328  09:00:00,132.67
20080328  09:00:00,132.67
20080328  09:00:00,132.67
20080328  09:30:00,132.91
20080328  09:30:00,132.91
20080328  09:30:00,132.91
20080328  10:00:00,132.99
20080328  10:00:00,132.99
20080328  10:00:00,132.99
20080328  10:30:00,132.67
20080328  10:30:00,132.67
20080328  10:30:00,132.67
20080328  11:00:00,132.39
20080328  11:00:00,132.39
20080328  11:00:00,132.39
20080328  11:30:00,132.52
20080328  11:30:00,132.52
20080328  11:30:00,132.52
20080328  12:00:00,132.05
20080328  12:00:00,132.05
20080328  12:00:00,132.05
20080328  12:30:00,132
20080328  12:30:00,132
20080328  12:30:00,132
20080328  13:00:00,131.98
20080328  13:00:00,131.98
20080328  13:00:00,131.98
20080328  13:30:00,131.56
20080328  13:30:00,131.56
20080328  13:30:00,131.56
20080331  08:00:00,131.79
20080331  08:30:00,131.53
20080331  09:00:00,131.85
20080331  09:30:00,132.04
20080331  10:00:00,132.23
20080331  10:30:00,132.03
20080331  11:00:00,132.39
20080331  11:30:00,132.59
20080331  12:00:00,132.35
20080331  12:30:00,132.27
20080331  13:00:00,131.99
20080331  13:30:00,131.97
20080401  08:00:00,134.47
20080401  08:30:00,134.5
20080401  09:00:00,135.08
20080401  09:30:00,134.87
20080401  10:00:00,135.18
20080401  10:30:00,135.61
20080401  11:00:00,135.37
20080401  11:30:00,135.83
20080401  12:00:00,135.46
20080401  12:30:00,135.74
20080401  13:00:00,136.08
20080401  13:30:00,136.32
20080402  08:00:00,136.27
20080402  08:30:00,137.05
20080402  09:00:00,137.5
20080402  09:30:00,137.1
20080402  10:00:00,137.63
20080402  10:30:00,137.27
20080402  11:00:00,137.02
20080402  11:30:00,136.95
20080402  12:00:00,137.19
20080402  12:30:00,137.01
20080402  13:00:00,136.25
20080402  13:30:00,136.47
20080403  08:00:00,136.35
20080403  08:30:00,136.03
20080403  09:00:00,135.86
20080403  09:30:00,136.32
20080403  10:00:00,136.57
20080403  10:30:00,136.39
20080403  11:00:00,136.97
20080403  11:30:00,137.26
20080403  12:00:00,136.91
20080403  12:30:00,136.98
20080403  13:00:00,137.17
20080403  13:30:00,136.75
20080404  08:00:00,136.77
20080404  08:00:00,136.77
20080404  08:00:00,136.77
20080404  08:30:00,136.49
20080404  08:30:00,136.49
20080404  08:30:00,136.49
20080404  09:00:00,136.68
20080404  09:00:00,136.68
20080404  09:00:00,136.68
20080404  09:30:00,137.14
20080404  09:30:00,137.14
20080404  09:30:00,137.14
20080404  10:00:00,136.87
20080404  10:00:00,136.87
20080404  10:00:00,136.87
20080404  10:30:00,137.47
20080404  10:30:00,137.47
20080404  10:30:00,137.47
20080404  11:00:00,137.74
20080404  11:00:00,137.74
20080404  11:00:00,137.74
20080404  11:30:00,137.9
20080404  11:30:00,137.9
20080404  11:30:00,137.9
20080404  12:00:00,137.69
20080404  12:00:00,137.69
20080404  12:00:00,137.69
20080404  12:30:00,137.25
20080404  12:30:00,137.25
20080404  12:30:00,137.25
20080404  13:00:00,137.47
20080404  13:00:00,137.47
20080404  13:00:00,137.47
20080404  13:30:00,137.01
20080404  13:30:00,137.01
20080404  13:30:00,137.01
20080407  08:00:00,137.85
20080407  08:30:00,137.38
20080407  09:00:00,137.72
20080407  09:30:00,137.81
20080407  10:00:00,138.11
20080407  10:30:00,138.18
20080407  11:00:00,138.39
20080407  11:30:00,138.13
20080407  12:00:00,137.95
20080407  12:30:00,137.46
20080407  13:00:00,137.08
20080407  13:30:00,137.25
20080408  08:00:00,136.4
20080408  08:30:00,136.48
20080408  09:00:00,136.64
20080408  09:30:00,136.84
20080408  10:00:00,136.57
20080408  10:30:00,136.54
20080408  11:00:00,136.5
20080408  11:30:00,136.3
20080408  12:00:00,136.25
20080408  12:30:00,136.14
20080408  13:00:00,136.49
20080408  13:30:00,136.63
20080409  08:00:00,136.01
20080409  08:30:00,135.94
20080409  09:00:00,136.23
20080409  09:30:00,135.75
20080409  10:00:00,135.33
20080409  10:30:00,135.52
20080409  11:00:00,135.21
20080409  11:30:00,135.29
20080409  12:00:00,135.61
20080409  12:30:00,135.1
20080409  13:00:00,135.01
20080409  13:30:00,135.13
20080410  08:00:00,135.08
20080410  08:30:00,135.71
20080410  09:00:00,136.11
20080410  09:30:00,136.18
20080410  10:00:00,136.57
20080410  10:30:00,136.35
20080410  11:00:00,136.25
20080410  11:30:00,136.42
20080410  12:00:00,136.29
20080410  12:30:00,135.94
20080410  13:00:00,136.46
20080410  13:30:00,135.97
20080411  08:00:00,134.36
20080411  08:00:00,134.36
20080411  08:00:00,134.36
20080411  08:30:00,134.51
20080411  08:30:00,134.51
20080411  08:30:00,134.51
20080411  09:00:00,134.59
20080411  09:00:00,134.59
20080411  09:00:00,134.59
20080411  09:30:00,134.42
20080411  09:30:00,134.42
20080411  09:30:00,134.42
20080411  10:00:00,134.56
20080411  10:00:00,134.56
20080411  10:00:00,134.56
20080411  10:30:00,134
20080411  10:30:00,134
20080411  10:30:00,134
20080411  11:00:00,134.14
20080411  11:00:00,134.14
20080411  11:00:00,134.14
20080411  11:30:00,133.95
20080411  11:30:00,133.95
20080411  11:30:00,133.95
20080411  12:00:00,133.87
20080411  12:00:00,133.87
